Pitch,Roll,Yaw,Surge,Sway,Heave
3.6057504921999373e-07,2.2751904099541263e-07,4.858864806744213e-08,0.1525702985341199,0.04242151117755628,3.210095906770868
6.77951741603247e-08,4.277296434310673e-08,9.137991788645015e-09,0.02869092248588362,0.007973836714645419,0.6033806222413931
6.704243878569959e-09,4.228802812660609e-09,9.041222693866768e-10,0.0028381685354482663,0.0007880879245540349,0.0596324963649113
8.129957670388612e-10,5.124455419781285e-10,1.0980937289927741e-10,0.0003445111301801464,9.540762449469049e-05,0.007218455746422805
9.960972281007697e-13,3.8859192687772343e-13,2.465004731428538e-13,6.445648999970173e-07,1.1319145565539772e-08,3.405904966460344e-07
3.2088230541833973e-13,1.2518776148495307e-13,7.940573456165842e-14,2.0763476180689012e-07,3.646272938878872e-09,1.0971764610154926e-07
1.1144363726883905e-13,4.3482197155872866e-14,2.7576861101050628e-14,7.21093969695374e-08,1.266323023553109e-09,3.810534113126532e-08
3.812563885827927e-14,1.487830673719136e-14,9.4335161226075e-15,2.4667111641995924e-08,4.3318957523469787e-10,1.3036092476922577e-08
1.0583441162422778e-14,4.132412207233039e-15,2.618087287266366e-15,6.84576267934051e-09,1.2022719363745132e-10,3.618731692933833e-09
3.1174689129547033e-18,3.917132290817078e-18,6.463738607145814e-20,3.895345288203118e-14,7.60697915518463e-15,1.0578823488593144e-12
1.5498223823548122e-18,1.9476121669261044e-18,3.229112057310719e-20,1.9606711903165005e-14,3.805351624348589e-15,5.298416051320811e-13
7.532775096103047e-19,9.468171064338548e-19,1.58219149434229e-20,9.724790130877654e-15,1.868644539400854e-15,2.6069783146860964e-13
3.3739049813774895e-19,4.242524012515854e-19,7.200020190578601e-21,4.529846193057204e-15,8.539947486641611e-16,1.1959758352272834e-13
1.1731979573415745e-19,1.477060046310788e-19,2.6208248897289715e-21,1.7550461007685137e-15,3.1455470261626187e-16,4.451272597673285e-14
1.21340628129849e-21,1.7835734378112416e-21,1.9188598489551546e-22,2.7111641589642437e-16,2.7998624082263265e-17,4.574009996160984e-15
7.871458011891596e-22,1.0641601121876481e-21,1.120422924958443e-22,1.584920133257522e-16,1.6231059939153027e-17,2.9815573119575847e-15
5.136643174022264e-22,6.178769143761086e-22,6.286227712317672e-23,8.9094613831281e-17,8.999088049758109e-18,1.9575032861306792e-15
3.3514264284286494e-22,3.3803282224517674e-22,3.229599075599941e-23,4.594251866913924e-17,4.517039710712146e-18,1.2872518192340804e-15
2.169613921014677e-22,1.6161382374480116e-22,1.324467433282402e-23,1.9030293355173515e-17,1.733789390976341e-18,8.42178770290629e-16
1.3786239724799896e-22,5.0501687492837e-23,1.4264148377061867e-24,2.321847753569644e-18,1.5867968035535168e-20,5.432129307637337e-16
8.715100796029481e-23,3.644418996971238e-23,9.630235471882435e-25,1.5018765157049838e-18,1.571025821461433e-20,3.466396040940078e-16
5.252737683339585e-23,2.6404284029444062e-23,6.406429964319183e-25,9.386988595426931e-19,1.5047075898410472e-20,2.1211033973550884e-16
2.881754317715313e-23,1.915902697661595e-23,4.148609448516791e-25,5.502495365492967e-19,1.4127885891497203e-20,1.197208510959929e-16
1.259033484849878e-23,1.3883626529684178e-23,2.5603792186926267e-25,2.8200201938818774e-19,1.3100801635623528e-20,5.62614894693667e-17
1.5384968906063635e-24,1.001329340725456e-23,1.4410527200875672e-25,9.721381711191902e-20,1.2052644011772757e-20,1.2842273534503794e-17
1.015534488829973e-24,7.074223782614717e-24,1.0252158965864981e-25,6.776251161012062e-20,8.57095489471652e-21,8.627867182397598e-18
